# Roman HLWAS polygon corners as defined by the Roman HLWAS CCS
# Corners from https://github.com/hirata10/RomanHLWASTools
# RA Dec POLY
141.5478515625 -15.9561945744103 5
161.0595703125 -15.9561945744103 5
162.5537109375 -12.893793878753506 5
162.6416015625 -12.66429753814524 5
160.7958984375 -8.847705140818219 5
155.1708984375 1.930740768997223 5
154.6435546875 2.0427139149351734 5
154.1162109375 3.4992317616567097 5
150.9521484375 4.733403265908758 5
146.1181640625 2.0987033881603745 5
143.3056640625 2.0427139149351734 5
141.5478515625 1.2590417920760542 5
141.5478515625 -15.9561945744103 5
58.49121093749999 -53.43895476128262 6
64.0283203125 -53.43895476128262 6
66.4013671875 -51.42000747764189 6
67.7197265625 -50.0932737798619 6
68.7744140625 -48.632692035639245 6
69.5654296875 -47.130920773187654 6
70.0927734375 -45.750546062837714 6
70.5322265625 -44.09106351987296 6
71.0595703125 -40.09395842454502 6
71.2353515625 -36.249925072499714 6
71.2353515625 -28.04824340977384 6
78.0029296875 -27.984863077947495 6
78.0029296875 -18.416239617975677 6
71.4990234375 -17.4752003498738 6
69.7412109375 -17.06503725355476 6
67.3681640625 -16.13085607989985 6
65.8740234375 -15.201059962947078 6
65.2587890625 -14.679862573916251 6
64.4677734375 -13.871555100319034 6
62.5341796875 -11.348569805502988 6
61.12792968750001 -10.323120046001828 6
59.72167968749999 -9.75488864302146 6
56.9091796875 -9.074282388988438 6
55.0634765625 -8.50809943655384 6
53.3056640625 -7.716834266391679 6
51.9873046875 -6.927047177711244 6
50.6689453125 -5.969780382181222 6
47.2412109375 -3.162945644576167 6
42.4951171875 -4.564990338713473 6
37.0458984375 -1.9867263931002763 6
32.6513671875 -1.9867263931002763 6
30.0146484375 -7.4346060048354285 6
29.311523437499996 -9.130948926139355 6
28.9599609375 -9.5278703005899 6
20.8740234375 -12.779019646873596 6
6.4599609375 -19.06618542991249 6
358.6376953125 -22.417184596227035 6
358.3740234375 -22.659503975461433 6
357.9345703125 -24.98388147139592 6
357.9345703125 -26.912979351344426 6
358.3740234375 -29.19562275220316 6
358.9013671875 -30.615705953918123 6
359.6923828125 -31.990939851286548 6
0.9228515625 -33.588382810342935 6
1.8896484375 -34.46606100583986 6
2.3291015625 -37.36811055800635 6
3.2958984375 -40.2404003005123 6
4.7021484375 -42.62881610739325 6
6.6357421875 -44.875321333304704 6
8.9208984375 -46.96668546844935 6
9.9755859375 -46.96668546844935 6
12.2607421875 -44.95433333586908 6
13.6669921875 -43.3940235314341 6
14.6337890625 -42.098728753381714 6
15.4248046875 -40.7554667781534 6
16.0400390625 -39.07750646926692 6
51.3720703125 -39.07750646926692 6
51.5478515625 -39.43881876339722 6
51.6357421875 -41.49828701733782 6
51.9873046875 -43.85781273370377 6
52.6025390625 -46.152932943815394 6
53.0419921875 -47.21322882038279 6
53.7451171875 -48.54809915023732 6
55.1513671875 -50.44342165299963 6
56.5576171875 -51.87085918104231 6
58.49121093749999 -53.43895476128262 6
