# Roman HLWAS polygon corners as defined by the Roman HLWAS CCS
# Corners from https://github.com/hirata10/RomanHLWASTools
# RA Dec POLY
172.5732421875 -23.20629983365643 1
174.7705078125 -23.023788761649328 1
177.3193359375 -22.23572237740051 1
179.0771484375 -21.452062966837985 1
183.1201171875 -19.42177232008779 1
187.6904296875 -17.4752003498738 1
194.1064453125 -14.275346149331614 1
196.3037109375 -13.4109372674472 1
199.3798828125 -12.377716830234196 1
203.0712890625 -11.405644225749406 1
202.9833984375 2.0427139149351734 1
155.0830078125 1.9867263931002763 1
158.5986328125 -4.508861550686395 1
162.6416015625 -12.66429753814524 1
161.1474609375 -15.9561945744103 1
160.6201171875 -16.01439807619818 1
160.6201171875 -18.1805079033012 1
160.9716796875 -19.24388257519331 1
161.4111328125 -19.7186896139623 1
162.2021484375 -20.254540604788176 1
163.6083984375 -20.852110013427065 1
169.4970703125 -22.659503975461433 1
170.7275390625 -22.963006707336582 1
172.5732421875 -23.20629983365643 1
141.4599609375 -13.4109372674472 2
141.5478515625 1.2590417920760542 2
143.3056640625 1.9867263931002763 2
119.6630859375 2.0427139149351734 2
119.7509765625 1.7627947467368414 2
120.5419921875 0.531560267305955 2
121.7724609375 -1.0911476935469655 2
126.0791015625 -5.295084155753911 2
129.5947265625 -9.811667256099788 2
130.2978515625 -10.493787194784575 2
131.4404296875 -11.234455126762269 2
132.8466796875 -11.748333887788348 2
138.3837890625 -12.66429753814524 2
141.4599609375 -13.4109372674472 2
323.7451171875 -31.59595549022792 3
359.3408203125 -31.59595549022792 3
358.3740234375 -29.19562275220316 3
357.9345703125 -26.912979351344426 3
358.0224609375 -24.245329678054247 3
358.3740234375 -22.659503975461433 3
358.6376953125 -22.417184596227035 3
6.4599609375 -19.06618542991249 3
20.8740234375 -12.779019646873596 3
28.9599609375 -9.5278703005899 3
29.311523437499996 -9.130948926139355 3
30.0146484375 -7.4346060048354285 3
32.6513671875 -1.9867263931002763 3
37.0458984375 -1.9867263931002763 3
42.4951171875 -4.564990338713473 3
44.5166015625 -4.003890990395944 3
43.9013671875 -3.162945644576167 3
42.5830078125 -1.6508392375313243 3
41.0888671875 -0.1958355651923714 3
39.5947265625 1.0351851475177862 3
38.1005859375 2.0427139149351734 3
350.9912109375 2.0427139149351734 3
350.6396484375 1.930740768997223 3
349.6728515625 1.4829176606817949 3
348.0029296875 0.3636963553398286 3
344.8388671875 -2.154694866451146 3
339.2138671875 -5.6323343249003175 3
337.4560546875 -6.532658591144037 3
336.4013671875 -6.870686196378586 3
335.1708984375 -7.096170768830151 3
332.8857421875 -7.096170768830151 3
330.2490234375 -6.7579842155901035 3
328.4912109375 -6.701643102448234 3
327.7880859375 -6.814331894629051 3
327.1728515625 -7.03978940691447 3
326.3818359375 -7.716834266391679 3
325.5908203125 -8.960976103925233 3
324.2724609375 -12.435007571117312 3
323.3935546875 -14.217617862821266 3
322.0751953125 -15.9561945744103 3
319.6142578125 -18.53422641069599 3
318.9990234375 -19.65926230725318 3
318.8232421875 -20.43356670947084 3
318.9111328125 -21.512193001743498 3
319.3505859375 -22.598884207022685 3
320.0537109375 -23.69422414276025 3
321.8994140625 -26.03785273621849 3
323.1298828125 -28.238609241067557 3
323.6572265625 -29.90313394627422 3
323.7451171875 -31.59595549022792 3
71.2353515625 -31.59595549022792 4
77.9150390625 -31.59595549022792 4
78.0029296875 -28.04824340977384 4
71.2353515625 -27.984863077947495 4
71.2353515625 -31.59595549022792 4
