ext,chip,x,y,chi,snr,sharp,round,major_axis,crowd,obj_type,pass_det,counts_f106,sky_f106,mag_ab_f106,mag_err_f106,chi_f106,snr_f106,sharp_f106,round_f106,crowd_f106,qflag_f106,counts_f158,sky_f158,mag_ab_f158,mag_err_f158,chi_f158,snr_f158,sharp_f158,round_f158,crowd_f158,qflag_f158,quality_flag,star_flag,ra,dec,label
0,1,2429.42,3103.0,0.0,434.8,-0.056,3.857,160,0.733,1,1,14000000.0,10158.96,15.505255442315054,0.003,1.0,365.4,0.026,1.202,0.448,12,2210000.0,10840.38,17.527283688203866,0.005,1.0,235.7,-0.087,4.865,0.838,12,False,False,11.88563937908806,-25.270405536479164,0
0,1,2427.47,3104.01,5.16,680.9,-0.694,2.428,160,0.275,1,2,3680000.0,6219.39,16.955955984826854,0.003,5.28,390.3,-0.605,2.834,0.51,12,3970000.0,10382.31,16.891288105508856,0.002,4.96,557.9,-0.739,2.214,0.155,12,False,False,11.885573491053394,-25.270374674282955,0
0,1,2431.93,3102.43,11.63,643.0,-0.576,3.245,160,0.318,1,2,1930000.0,6667.87,17.656682258991214,0.003,13.78,349.2,-0.537,4.317,0.561,12,3040000.0,10821.12,17.18108041339476,0.002,7.99,539.9,-0.601,2.536,0.162,12,False,False,11.885724189293326,-25.270422954501853,0
0,1,1726.48,2652.19,5.49,936.1,0.008,0.018,110,0.021,1,1,1830000.0,821.08,17.714447807184573,0.002,6.3,527.0,0.011,0.036,0.018,12,2780000.0,1042.88,17.278152382621453,0.001,4.27,773.6,0.007,0.006,0.023,12,False,False,11.861884726625478,-25.284177996872966,0
0,1,2148.4,380.2,3.87,856.9,0.018,0.009,155,0.084,1,1,1310000.0,748.83,18.077397292371238,0.002,4.22,490.5,0.034,0.013,0.079,12,2890000.0,1092.59,17.23601976552527,0.002,3.14,702.6,0.002,0.005,0.089,12,False,False,11.87613579980707,-25.353601714584393,0
0,1,1359.12,1083.35,44.91,468.8,-0.921,0.547,70,0.121,5,2,1390000.0,1130.77,18.01303853087541,0.004,52.15,281.8,-0.925,0.643,0.106,0,2700000.0,1694.38,17.309854962019173,0.003,36.25,374.6,-0.917,0.441,0.136,0,False,False,11.849455313250774,-25.332112046063546,0
0,1,508.23,4452.88,5.92,841.0,0.05,0.027,15,0.129,1,1,1150000.0,707.69,18.21883093062662,0.002,7.66,435.2,0.049,0.075,0.106,12,2580000.0,993.12,17.359215107508568,0.002,3.78,719.7,0.05,-0.012,0.147,12,False,False,11.820747095954395,-25.22914399854482,0
0,1,4273.03,4370.46,16.92,814.9,-0.61,0.665,30,0.0,1,1,1700000.0,3961.06,17.794453228064963,0.002,19.86,567.6,-0.593,0.744,0.0,4,2230000.0,4795.68,17.51750221479624,0.002,10.7,584.7,-0.629,0.568,0.0,12,False,False,11.9479140941007,-25.23166557378979,0
0,1,4043.92,466.14,6.43,796.3,0.03,0.024,140,0.127,1,1,983660.7,667.96,18.388462230373868,0.003,8.29,400.7,0.012,0.016,0.137,12,2260000.0,954.8,17.50299327454814,0.002,3.72,688.1,0.043,0.031,0.119,12,False,False,11.94022645657712,-25.350967063763314,0
0,1,1476.68,514.4,3.39,855.7,0.007,0.013,70,0.031,1,1,1270000.0,735.73,18.111066229120755,0.002,3.88,526.5,-0.008,0.02,0.029,12,2140000.0,909.48,17.562229939043664,0.002,2.45,674.6,0.023,0.005,0.033,12,False,False,11.853424609038608,-25.349497593952815,0
0,1,2548.28,1479.22,3.96,891.7,0.027,0.023,45,0.042,1,1,1010000.0,679.17,18.35977209705404,0.002,4.73,476.9,0.029,0.022,0.034,12,2260000.0,949.88,17.50299327454814,0.001,2.85,753.5,0.026,0.024,0.05,12,False,False,11.889656200522912,-25.32002104384379,0
0,1,2491.38,1359.19,4.02,852.9,0.022,0.037,45,0.026,1,1,952897.0,659.26,18.42296063235224,0.002,4.64,462.4,0.022,0.033,0.028,12,2190000.0,915.24,17.537154085316345,0.002,3.02,716.6,0.023,0.041,0.023,12,False,False,11.88773280638401,-25.323688634214047,0
0,1,4819.0,1969.55,43.95,427.2,-0.936,0.626,135,0.094,5,2,1090000.0,673.98,18.27700928665909,0.004,49.69,254.5,-0.933,0.757,0.084,0,2050000.0,662.31,17.608879719777256,0.003,37.33,343.1,-0.939,0.49,0.105,0,False,False,11.96640336300303,-25.305018051182575,0
0,1,1786.62,4294.51,3.86,740.2,0.053,0.012,15,0.207,1,1,978966.5,701.13,18.39365595500094,0.003,4.64,406.1,0.072,0.031,0.178,12,2140000.0,963.35,17.562229939043664,0.002,2.58,618.8,0.035,-0.006,0.233,12,False,False,11.863927016090269,-25.23399636263141,0
0,1,1979.97,3221.24,45.21,421.2,-0.955,0.572,135,0.197,5,2,1120000.0,294.78,18.247530474835195,0.004,50.19,255.2,-0.935,0.68,0.18,0,2020000.0,171.05,17.62488594880008,0.003,39.61,335.1,-0.975,0.459,0.214,0,False,False,11.87045341102779,-25.266791623785455,0
0,1,3907.75,3937.22,4.3,766.1,0.04,0.023,120,0.244,1,1,999827.4,695.41,18.370762945753903,0.003,5.45,433.7,0.077,0.048,0.21,12,1960000.0,945.72,17.657624194025452,0.002,2.43,631.6,0.006,0.001,0.274,12,False,False,11.93558076194053,-25.244907905944544,0
0,1,3462.35,3651.73,4.26,773.0,0.076,0.015,30,0.124,1,1,1010000.0,699.99,18.35977209705404,0.002,4.99,475.0,0.065,0.023,0.078,12,2080000.0,930.98,17.59310603500974,0.002,2.74,609.9,0.089,0.004,0.179,12,False,False,11.920536619587557,-25.253635258031707,0
0,1,4288.43,1928.0,4.02,788.6,0.055,0.014,5,0.122,1,1,1050000.0,686.35,18.317602283835804,0.002,4.61,534.0,0.048,0.018,0.062,4,1950000.0,939.63,17.66317784401035,0.002,2.67,580.3,0.065,0.01,0.213,12,False,False,11.948471439952476,-25.306296024639764,0
0,1,1354.0,1069.28,38.04,229.5,-0.681,1.121,65,0.601,4,2,131673.3,0.0,20.571831231506344,0.007,39.3,153.2,-0.693,0.658,0.511,0,183062.9,0.0,20.231763527471397,0.006,36.73,170.8,-0.668,1.639,0.698,0,False,False,11.849282087764095,-25.33254191718387,0
0,1,3791.1,3865.6,4.58,822.9,0.038,0.02,20,0.066,1,1,920744.6,679.51,18.46022758032042,0.002,4.96,516.8,0.031,0.029,0.048,4,1960000.0,935.68,17.657624194025452,0.002,3.95,640.4,0.047,0.008,0.09,12,False,False,11.931640884931653,-25.247097501548154,0
0,1,3377.52,2731.07,3.6,755.8,0.04,0.004,95,0.176,1,1,967266.6,661.54,18.40671005222029,0.002,4.32,494.5,0.044,0.007,0.121,4,1910000.0,923.47,17.68568095429732,0.002,1.72,571.6,0.034,-0.001,0.255,12,False,False,11.917677559482948,-25.281767126871912,0
0,1,1017.24,4104.39,4.25,758.9,0.023,0.047,175,0.175,1,1,878885.5,687.48,18.510744782839875,0.002,4.63,479.8,0.03,0.075,0.16,4,1890000.0,920.47,17.69710986198353,0.002,3.47,588.0,0.013,0.007,0.195,12,False,False,11.837935801583562,-25.23979908388725,0
0,1,4644.3,3835.43,4.63,806.6,0.02,0.029,65,0.036,1,1,806436.5,671.24,18.604150091303364,0.002,5.28,476.5,0.024,0.03,0.035,4,1820000.0,909.68,17.738085902453953,0.002,3.47,650.8,0.015,0.028,0.038,12,False,False,11.960464693599919,-25.24800810639598,0
0,1,3606.1,3662.1,6.9,677.9,0.01,0.078,175,0.087,1,1,744103.5,618.53,18.691492163235196,0.003,8.04,356.6,0.027,0.082,0.081,12,1610000.0,802.01,17.871199682337018,0.002,5.53,576.5,-0.005,0.075,0.091,12,False,False,11.925393026284972,-25.25331725545582,0
0,1,3135.37,1974.03,4.14,801.0,0.023,0.031,145,0.061,1,1,841730.9,643.04,18.557642355387557,0.002,4.53,493.6,0.035,0.029,0.031,4,1670000.0,869.72,17.831473194547684,0.002,3.57,630.9,0.009,0.033,0.098,12,False,False,11.909498863012638,-25.304900310469417,0
0,1,4908.35,3738.43,3.53,760.3,0.027,0.024,15,0.172,1,1,818046.2,655.67,18.588630952532604,0.002,4.25,470.1,0.049,0.049,0.099,4,1620000.0,853.18,17.864476836060064,0.002,2.32,597.5,0.002,-0.007,0.259,12,False,False,11.969387019898665,-25.250967374015886,0
0,1,3547.19,2740.39,3.68,774.4,0.034,0.04,10,0.052,1,1,783201.9,645.3,18.635891200589995,0.002,4.36,472.6,0.025,0.057,0.033,4,1700000.0,848.1,17.812142068970957,0.002,2.34,613.5,0.045,0.019,0.075,12,False,False,11.923411001644288,-25.281481093781075,0
0,1,1993.22,3206.73,36.69,344.6,-0.938,0.613,135,0.403,5,2,830428.3,51.38,18.572320179032168,0.005,41.56,209.9,-0.943,0.596,0.395,0,1540000.0,0.0,17.919462570325486,0.004,31.08,273.4,-0.932,0.632,0.412,0,False,False,11.870901039982343,-25.267235037234226,0
0,1,4922.23,3211.87,5.38,711.3,0.071,0.039,15,0.102,1,1,735382.6,644.17,18.704292157144764,0.003,6.68,421.0,0.063,0.066,0.078,12,1560000.0,837.26,17.90545287653049,0.002,3.33,573.4,0.081,0.008,0.129,12,False,False,11.96986678636894,-25.26705642895883,0
0,1,1686.76,379.33,3.62,711.9,0.003,0.027,125,0.105,1,1,671821.2,627.78,18.802441270697763,0.003,4.36,368.9,0.025,0.042,0.101,12,1470000.0,804.13,17.9699710355462,0.002,2.54,608.9,-0.013,0.016,0.107,12,False,False,11.860526707299156,-25.353626218293464,0
0,1,329.76,4346.39,4.69,791.4,0.015,0.058,100,0.025,1,1,797728.8,637.66,18.6159373528891,0.002,5.47,473.8,0.004,0.069,0.024,4,1330000.0,765.82,18.078635269998927,0.002,3.63,633.9,0.025,0.048,0.027,12,False,False,11.81471685465183,-25.23239500069278,0
